name,n_vertices,methodA_mse,methodA_mae,methodB_mse,methodB_mae
branch,2767,7.815262558275772e-07,0.0007340000765433482,2.339403117634809e-06,0.0013248074861238479
cylinder,192,7.966258421033582e-07,0.0006109481915933477,2.5735636000765344e-06,0.0013824181634276994
explosive,2812,1.2438178890503777e-07,0.0002755318578340662,3.901548210927798e-07,0.000546595852152484
fence,1088,1.5700000336421819e-07,0.00027300471568148183,3.6075811017769505e-07,0.0005421463852801064
girl,8284,2.0540857857605905e-07,0.00036982259319256485,3.5219181767372975e-07,0.0005163143670199183
person,3103,7.891145874144547e-07,0.0006918588893309607,1.7631068611526918e-06,0.0011392551428412558
table,3148,1.4881127939019155e-07,0.0003067378844393455,4.6995121045678146e-07,0.0005989163298246506
talwar,1668,1.307100895117411e-07,0.00022837003788953226,5.845993011736295e-07,0.0006505920271432901
